enrollee_id,city,gender,relevent_experience,enrolled_university,education_level,major_discipline,experience,company_size,company_type,target
21102,city_16,Male,Has relevent experience,no_enrollment,Graduate,STEM,3,<10,Pvt Ltd,0.0
8428,city_103,Male,No relevent experience,no_enrollment,Graduate,Humanities,3,50-99,Pvt Ltd,1.0
4483,city_103,Male,Has relevent experience,no_enrollment,Graduate,STEM,14,<10,Pvt Ltd,0.0
6990,city_103,Male,Has relevent experience,no_enrollment,Graduate,STEM,8,50-99,Pvt Ltd,0.0
20599,city_21,Male,Has relevent experience,no_enrollment,Masters,STEM,8,1000-4999,Pvt Ltd,0.0
1258,city_103,Male,Has relevent experience,no_enrollment,Graduate,STEM,1,100-500,Pvt Ltd,0.0
13922,city_103,Male,Has relevent experience,no_enrollment,Graduate,Arts,3,50-99,Pvt Ltd,0.0
7397,city_103,Male,Has relevent experience,no_enrollment,Graduate,STEM,19,1000-4999,Pvt Ltd,0.0
25119,city_16,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,50-99,NGO,1.0
14834,city_103,Male,Has relevent experience,Full time course,Graduate,STEM,2,<10,Pvt Ltd,0.0
2319,city_103,Male,Has relevent experience,no_enrollment,Graduate,STEM,3,10000+,Pvt Ltd,0.0
17381,city_103,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,<10,Funded Startup,0.0
22942,city_103,Male,Has relevent experience,Full time course,Masters,STEM,11,10000+,Pvt Ltd,0.0
26639,city_21,Male,Has relevent experience,no_enrollment,Graduate,Business Degree,3,100-500,NGO,0.0
21631,city_16,Male,Has relevent experience,no_enrollment,Graduate,STEM,14,50-99,Public Sector,0.0
13679,city_16,Male,Has relevent experience,no_enrollment,Graduate,STEM,12,100-500,Pvt Ltd,0.0
23512,city_103,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,10000+,Pvt Ltd,0.0
26304,city_54,Male,Has relevent experience,no_enrollment,Graduate,No Major,5,50-99,Pvt Ltd,0.0
27993,city_103,Male,Has relevent experience,no_enrollment,Graduate,STEM,8,10000+,Pvt Ltd,1.0
8525,city_9,Male,Has relevent experience,no_enrollment,Graduate,STEM,4,50-99,Pvt Ltd,0.0
29985,city_103,Male,No relevent experience,no_enrollment,Graduate,STEM,>20,1000-4999,Pvt Ltd,0.0
14612,city_21,Male,Has relevent experience,Full time course,Masters,STEM,4,1000-4999,Pvt Ltd,1.0
10773,city_21,Male,No relevent experience,no_enrollment,Graduate,No Major,2,50-99,Early Stage Startup,0.0
13758,city_173,Male,No relevent experience,no_enrollment,Masters,Humanities,>20,1000-4999,Public Sector,0.0
3572,city_41,Male,Has relevent experience,no_enrollment,Graduate,STEM,19,10000+,Pvt Ltd,0.0
25334,city_103,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,50-99,Pvt Ltd,0.0
16236,city_141,Male,Has relevent experience,no_enrollment,Masters,STEM,11,<10,Pvt Ltd,0.0
2571,city_136,Male,Has relevent experience,no_enrollment,Graduate,STEM,5,10000+,Pvt Ltd,0.0
25935,city_36,Male,Has relevent experience,no_enrollment,Masters,STEM,10,10/49,Early Stage Startup,1.0
10087,city_103,Male,No relevent experience,no_enrollment,Graduate,STEM,17,5000-9999,Pvt Ltd,0.0
12615,city_11,Male,Has relevent experience,no_enrollment,Graduate,STEM,5,100-500,Pvt Ltd,1.0
12173,city_75,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,<10,Pvt Ltd,0.0
5245,city_14,Male,No relevent experience,no_enrollment,Graduate,STEM,4,<10,Pvt Ltd,0.0
12435,city_28,Male,Has relevent experience,no_enrollment,Masters,STEM,10,50-99,Pvt Ltd,0.0
30300,city_64,Male,Has relevent experience,no_enrollment,Graduate,STEM,10,100-500,Pvt Ltd,0.0
31510,city_104,Male,Has relevent experience,no_enrollment,Graduate,STEM,8,1000-4999,Pvt Ltd,0.0
5036,city_71,Male,Has relevent experience,Part time course,Graduate,STEM,11,10/49,Early Stage Startup,0.0
28817,city_89,Male,Has relevent experience,Full time course,Graduate,STEM,14,5000-9999,Pvt Ltd,1.0
28336,city_160,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,10/49,Pvt Ltd,0.0
9737,city_103,Male,Has relevent experience,no_enrollment,Masters,Humanities,>20,500-999,Pvt Ltd,1.0
4531,city_71,Male,Has relevent experience,no_enrollment,Masters,STEM,12,100-500,Pvt Ltd,0.0
21863,city_46,Male,Has relevent experience,no_enrollment,Masters,STEM,10,100-500,Pvt Ltd,0.0
4356,city_162,Male,Has relevent experience,Part time course,Graduate,STEM,6,100-500,Pvt Ltd,0.0
21162,city_103,Male,Has relevent experience,Part time course,Graduate,STEM,3,100-500,NGO,0.0
19047,city_71,Male,Has relevent experience,no_enrollment,Masters,STEM,11,<10,Pvt Ltd,0.0
9885,city_41,Male,Has relevent experience,no_enrollment,Masters,STEM,5,100-500,Pvt Ltd,0.0
21761,city_103,Male,No relevent experience,no_enrollment,Graduate,STEM,3,10000+,Public Sector,0.0
7062,city_104,Male,Has relevent experience,no_enrollment,Graduate,STEM,5,10/49,Pvt Ltd,0.0
7932,city_21,Male,Has relevent experience,Part time course,Graduate,STEM,7,100-500,Pvt Ltd,0.0
22432,city_123,Male,Has relevent experience,no_enrollment,Masters,STEM,10,5000-9999,Pvt Ltd,0.0
24289,city_21,Male,Has relevent experience,no_enrollment,Graduate,STEM,5,10000+,Pvt Ltd,1.0
6789,city_141,Male,No relevent experience,Full time course,Graduate,STEM,5,500-999,Pvt Ltd,0.0
5779,city_114,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,500-999,Pvt Ltd,0.0
14114,city_162,Male,Has relevent experience,Full time course,Graduate,STEM,3,50-99,Pvt Ltd,0.0
29348,city_103,Male,Has relevent experience,no_enrollment,Graduate,STEM,20,100-500,NGO,0.0
26287,city_158,Male,Has relevent experience,no_enrollment,Graduate,STEM,7,<10,Funded Startup,0.0
26999,city_21,Male,No relevent experience,Part time course,Graduate,STEM,3,<10,Early Stage Startup,0.0
30081,city_103,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,50-99,Funded Startup,1.0
14073,city_114,Male,Has relevent experience,Part time course,Graduate,STEM,11,10/49,Funded Startup,0.0
29443,city_136,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,500-999,Pvt Ltd,0.0
13749,city_114,Male,Has relevent experience,no_enrollment,Masters,Humanities,>20,<10,Pvt Ltd,1.0
16907,city_21,Male,Has relevent experience,Full time course,Graduate,STEM,3,10/49,Pvt Ltd,0.0
17355,city_103,Male,Has relevent experience,no_enrollment,Graduate,Humanities,4,100-500,Pvt Ltd,0.0
3781,city_103,Male,Has relevent experience,no_enrollment,Graduate,STEM,6,10000+,Pvt Ltd,1.0
10609,city_114,Male,Has relevent experience,no_enrollment,Graduate,STEM,6,10/49,Pvt Ltd,0.0
19301,city_103,Male,Has relevent experience,no_enrollment,Graduate,STEM,6,100-500,Pvt Ltd,0.0
27037,city_103,Male,Has relevent experience,no_enrollment,Graduate,STEM,8,50-99,Funded Startup,0.0
2200,city_21,Male,Has relevent experience,no_enrollment,Graduate,STEM,3,50-99,Pvt Ltd,0.0
30599,city_103,Male,Has relevent experience,no_enrollment,Graduate,Other,18,50-99,Pvt Ltd,0.0
6228,city_41,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,10000+,Pvt Ltd,0.0
32490,city_160,Male,Has relevent experience,no_enrollment,Graduate,STEM,16,50-99,Funded Startup,0.0
15547,city_136,Male,Has relevent experience,no_enrollment,Masters,STEM,7,10000+,Pvt Ltd,0.0
16322,city_99,Male,No relevent experience,no_enrollment,Graduate,Business Degree,7,50-99,Pvt Ltd,0.0
12945,city_103,Male,Has relevent experience,no_enrollment,Graduate,Business Degree,3,1000-4999,Pvt Ltd,0.0
19994,city_103,Male,No relevent experience,no_enrollment,Graduate,STEM,3,100-500,Public Sector,0.0
26905,city_103,Male,Has relevent experience,no_enrollment,Graduate,STEM,5,50-99,Funded Startup,0.0
